142389933619945473	@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias	NEU	CarmendelRiego
142391947707940864	@marodriguezb Gracias MAR	P	CarmendelRiego
142416095012339712	Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)	N+	mgilguerrero
142422495721562112	Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!	P+	PaulinaRubio
142424715175280640	RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio...	NONE	PaulinaRubio
142483342040907776	Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!	P+	Carlos_Latre
142493511634259968	Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.	NONE	Ignacos
142494476051562496	Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.	P+	nacho_uriarte
142496796416016384	Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb	P+	JuanraLucas
142497735814287360	Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.	P+	pedroj_ramirez
142499355360903168	Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?	P+	sevillajordi
142504935853006848	#programascambiados caca d ajuste	N+	Carlos_Latre
142507006832553984	Buen viernes	P	Lissavetzky_M
142509609565962240	“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;)	P+	Carlos_Latre
142512151628750849	Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?	NONE	PaulaVazquezTV
142512293681438720	Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu	NONE	mariviromero
142513785154969600	La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija	P+	mariviromero
142517740517867520	¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG	P	iescolar
142521019171749888	abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ	N	mariviromero
142521249246097408	abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB	N	mariviromero
142521301054140416	La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas	N	sanchezcastejon
142539660835557376	Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad	N	anabelenroy_tve
142545185308540928	"La verdadera seriedad es cómica". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by	P	jesusmarana
142545757445173248	#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.	N	ristomejide
142548640685228032	Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria	P+	estherpalomera
142552759953141761	Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy	P	zoidoJI
142556824292442112	#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!	P+	RV1805
142558452257013760	"Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"	NONE	Cepeda
142569992418897922	3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.	P	javiersolana
142574119152648192	Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.	N	mdcospedal
142579555402653696	No se ha aprobado la ley Sinde	N	julia_otero
142579605327450115	se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.	NEU	lazaroelmundo
142579874547249152	¡¡Mucho ánimo hoy para "La Armada"!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6	P	aarbeloa17
142579876459847680	Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:"no sabe de lo que habla, no es cierto"	N+	Juandecolmenero
142582871591362560	Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.	N	EsperanzAguirre
142589717148479489	En el blog: Defender la solidaridad http://t.co/8sDDYC8j	NONE	patxilopez
142593149913673728	#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano	P	mariviromero
142593771790532608	Qué graciosos los "laicos" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!	N	marodriguezb
142594023780134912	Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE	NONE	JuanMoscosodelP
142598684511711233	El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria	NEU	GLlamazares
142603527712280577	El post de hoy en mi blog http://t.co/nzhcgrxn	NONE	mariviromero
142606640099762176	Me encanta ver por aqui  a @TuDNIe ;-))	P+	mariviromero
142608911256662016	si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b	P	juanes
142610350083276800	La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH	NONE	mariviromero
142624216959819776	“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!	P	maria_rey
142637480934514688	El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él	N	garcia_abadillo
142658962175705090	firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA	NONE	davidbisbal
142660083946491905	El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG	P	mariviromero
142660621131980800	Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1	NONE	mariviromero
142671399767646208	Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!	NONE	riverakiko
142676877553844224	Granado reconoce que da los datos de paro "con objetividad" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30	N	LosadaPescador
